stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1851,1851,NB Nellis before LV RV resort,,36.118468,-115.06472,,,,,,0
1852,1852,SB Nellis at Siegel Suites,,36.118128,-115.065039,,,,,,0
1853,1853,NB Nellis after Carey,,36.20418,-115.06203,,,,,,0
1854,1854,SB Nellis after Carey,,36.202839,-115.062349,,,,,,0
1855,1855,NB Nellis after Cecile,,36.21489,-115.06205,,,,,,0
1856,1856,SB Nellis after Cecile,,36.214329,-115.062388,,,,,,0
1857,1857,NB Nellis after Charleston,,36.15952,-115.062163,,,,,,0
1858,1858,SB Nellis after Charleston,,36.158356,-115.062452,,,,,,0
1859,1859,NB Nellis after Cheyenne,,36.2191,-115.06203,,,,,,0
1860,1860,SB Nellis after Cheyenne,,36.21758,-115.062369,,,,,,0
1861,1861,SB Nellis after Chicago,,36.150118,-115.065607,,,,,,0
1862,1862,NB Nellis after Desert Inn,,36.130407,-115.065199,,,,,,0
1863,1863,SB Nellis after Desert Inn,,36.12916,-115.065509,,,,,,0
1864,1864,SB Nellis after Desert Winds MHP,,36.22942,-115.062338,,,,,,0
1865,1865,NB Nellis after I,,36.229467,-115.061998,,,,,,0
1866,1866,NB Nellis after Dunes Circle,,36.221357,-115.062018,,,,,,0
1868,1868,SB Nellis before Vegas Valley,,36.139897,-115.06568,,,,,,0
1869,1869,SB Nellis before Flamingo,,36.11596,-115.06496,,,,,,0
1871,1871,SB Nellis after Gowan,,36.224827,-115.062349,,,,,,0
1872,1872,NB Nellis before Happy Valley,,36.13311,-115.065281,,,,,,0
1873,1873,SB Nellis after Happy Valley,,36.132897,-115.06562,,,,,,0
1874,1874,NB Nellis after Harmon,,36.108,-115.064227,,,,,,0
1875,1875,NB Nellis after Harris,,36.17852,-115.06203,,,,,,0
1876,1876,SB Nellis after Harris,,36.17712,-115.06236,,,,,,0
1877,1877,NB Nellis after Judson,,36.200339,-115.06201,,,,,,0
1878,1878,SB Nellis after Judson,,36.199588,-115.062338,,,,,,0
1879,1879,NB Nellis after Kell,,36.192978,-115.062018,,,,,,0
1880,1880,SB Nellis after Kell,,36.191859,-115.06236,,,,,,0
1881,1881,NB Nellis after Las Vegas,,36.237081,-115.062011,,,,,,0
1882,1882,SB Nellis after Las Vegas,,36.234839,-115.062338,,,,,,0
1883,1883,NB Nellis after Lake Mead,,36.196639,-115.06201,,,,,,0
1884,1884,SB Nellis after Lake Mead,,36.195567,-115.062286,,,,,,0
1885,1885,NB Nellis after Monroe,,36.185409,-115.062037,,,,,,0
1886,1886,SB Nellis after Monroe,,36.18453,-115.062369,,,,,,0
1887,1887,NB Nellis before Tyndall,,36.223677,-115.06201,,,,,,0
